"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)";"Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Land (km²)"
"2019";"Dalen";"";"";""
"2019";"Dalfsen";"   28499";"     173";"  165.07"
"2019";"Dantumadeel";"";"";""
"2019";"Dantumadiel";"   18923";"     224";"   84.66"
"2019";"Delft";"  103163";"    4554";"   22.65"
"2019";"Delfzijl";"   24716";"     186";"  133.07"
"2019";"Denekamp";"";"";""
"2019";"Deurne";"   32362";"     277";"  116.93"
"2019";"Deventer";"   99957";"     765";"  130.68"
"2019";"Didam";"";"";""
"2019";"Diemen";"   29196";"    2434";"   11.99"
"2019";"Diepenheim";"";"";""
"2019";"Diepenveen";"";"";""
"2019";"Diessen";"";"";""
"2019";"Diever";"";"";""
"2019";"Dinkelland";"   26350";"     150";"  175.71"
"2019";"Dinteloord en Prinsenland";"";"";""
"2019";"Dinxperlo";"";"";""
"2019";"Dirksland";"";"";""
"2019";"Dodewaard";"";"";""
"2019";"Doesburg";"   11148";"     967";"   11.53"
"2019";"Doetinchem";"   57555";"     728";"   79.05"
"2019";"Domburg";"";"";""
"2019";"Dongen";"   26051";"     891";"   29.24"
"2019";"Dongeradeel";"";"";""
"2019";"Doorn";"";"";""
"2019";"Dordrecht";"  118654";"    1511";"   78.54"
"2019";"Drechterland";"   19597";"     333";"   58.89"
"2019";"Driebergen-Rijsenburg";"";"";""
"2019";"Drimmelen";"   27150";"     285";"   95.18"
"2019";"Dronten";"   40815";"     122";"  333.57"
"2019";"Drunen";"";"";""
"2019";"Druten";"   18797";"     499";"   37.64"
"2019";"Duiveland";"";"";""
"2019";"Duiven";"   25332";"     747";"   33.90"
"2019";"Den Dungen";"";"";""
"2019";"Dussen";"";"";""
"2019";"Dwingeloo";"";"";""
"2019";"Echt";"";"";""
"2019";"Echteld";"";"";""
"2019";"Echt-Susteren";"   31638";"     307";"  103.07"
"2019";"Edam-Volendam";"   36099";"     664";"   54.33"
"2019";"Ede";"  115710";"     364";"  318.18"
"2019";"Eelde";"";"";""
"2019";"Eemnes";"    9113";"     294";"   31.04"
"2019";"Eemsdelta";"";"";""
"2019";"Eemsmond";"";"";""
"2019";"Eersel";"   19110";"     232";"   82.46"
"2019";"Egmond";"";"";""
"2019";"Eibergen";"";"";""
"2019";"Eijsden";"";"";""
"2019";"Eijsden-Margraten";"   25658";"     331";"   77.55"
"2019";"Eindhoven";"  231642";"    2643";"   87.66"
"2019";"Elburg";"   23086";"     362";"   63.82"
"2019";"Elst";"";"";""
"2019";"Emmen";"  107113";"     320";"  335.18"
"2019";"Enkhuizen";"   18507";"    1459";"   12.68"
"2019";"Enschede";"  158986";"    1129";"  140.83"
"2019";"Epe";"   33145";"     212";"  156.07"
"2019";"Ermelo";"   26858";"     314";"   85.63"
"2019";"Esch";"";"";""
"2019";"Etten-Leur";"   43774";"     792";"   55.30"
"2019";"Ferwerderadeel";"";"";""
"2019";"Ferwerderadiel";"";"";""
"2019";"Fijnaart en Heijningen";"";"";""
"2019";"Franekeradeel";"";"";""
"2019";"De Friese Meren";"";"";""
"2019";"De Fryske Marren";"   51430";"     146";"  351.29"
"2019";"Gaasterlân-Sleat";"";"";""
"2019";"Gasselte";"";"";""
"2019";"Geertruidenberg";"   21515";"     808";"   26.63"
"2019";"Geldermalsen";"";"";""
"2019";"Geldrop";"";"";""
"2019";"Geldrop-Mierlo";"   39595";"    1277";"   31.01"
"2019";"Geleen";"";"";""
"2019";"Gemert";"";"";""
"2019";"Gemert-Bakel";"   30447";"     249";"  122.14"
"2019";"Gendringen";"";"";""
"2019";"Gendt";"";"";""
"2019";"Genemuiden";"";"";""
"2019";"Gennep";"   17071";"     359";"   47.62"
"2019";"Giessenlanden";"";"";""
"2019";"Gieten";"";"";""
"2019";"Gilze en Rijen";"   26431";"     404";"   65.38"
"2019";"Goedereede";"";"";""
"2019";"Goeree-Overflakkee";"   49611";"     190";"  260.48"
"2019";"Goes";"   37653";"     407";"   92.58"
"2019";"Goirle";"   23793";"     553";"   42.99"
"2019";"Gooise Meren";"   57715";"    1388";"   41.59"
"2019";"Goor";"";"";""
"2019";"Gorinchem";"   36682";"    1948";"   18.83"
"2019";"Gorssel";"";"";""
"2019";"Gouda";"   73181";"    4434";"   16.50"
"2019";"Graafstroom";"";"";""
"2019";"Graft-De Rijp";"";"";""
"2019";"Gramsbergen";"";"";""
"2019";"Grave";"   12483";"     459";"   27.18"
"2019";"'s-Graveland";"";"";""
"2019";"'s-Gravendeel";"";"";""
"2019";"'s-Gravenhage (gemeente)";"  537833";"    6523";"   82.45"
"2019";"'s-Gravenmoer";"";"";""
"2019";"'s-Gravenzande";"";"";""
"2019";"Groenlo";"";"";""
"2019";"Groesbeek";"";"";""
"2019";"Groningen (gemeente)";"  231299";"    1246";"  185.60"
"2019";"Grootegast";"";"";""
"2019";"Grubbenvorst";"";"";""
"2019";"Gulpen";"";"";""
"2019";"Gulpen-Wittem";"   14246";"     195";"   73.18"
"2019";"Haaksbergen";"   24277";"     232";"  104.82"
"2019";"Haaren";"   14195";"     246";"   57.70"
"2019";"Haarlem";"  161265";"    5529";"   29.17"
"2019";"Haarlemmerliede en Spaarnwoude";"";"";""
"2019";"Haarlemmermeer";"  154235";"     781";"  197.48"
"2019";"Haelen";"";"";""
"2019";"Halderberge";"   30194";"     405";"   74.47"
"2019";"Halsteren";"";"";""
"2019";"Den Ham";"";"";""
"2019";"Hardenberg";"   60574";"     194";"  312.28"
"2019";"Harderwijk";"   47581";"    1224";"   38.89"
"2019";"Hardinxveld-Giessendam";"   18051";"    1068";"   16.91"
"2019";"Haren";"";"";""
"2019";"Harenkarspel";"";"";""
"2019";"Harlingen";"   15758";"     631";"   24.96"
"2019";"Harmelen";"";"";""
"2019";"Hasselt";"";"";""
"2019";"Hattem";"   12173";"     528";"   23.08"
"2019";"Havelte";"";"";""
"2019";"Hedel";"";"";""
"2019";"Heel";"";"";""
"2019";"Heemskerk";"   39164";"    1433";"   27.34"
"2019";"Heemstede";"   27286";"    2973";"    9.18"
"2019";"Heerde";"   18546";"     236";"   78.74"
"2019";"Heerenveen";"   50257";"     264";"  190.09"
"2019";"Heerewaarden";"";"";""
"2019";"Heerhugowaard";"   56742";"    1485";"   38.21"
"2019";"Heerjansdam";"";"";""
"2019";"Heerlen";"   86832";"    1932";"   44.94"
"2019";"Heesch";"";"";""
"2019";"Heeze";"";"";""
"2019";"Heeze-Leende";"   15964";"     153";"  104.02"
"2019";"Heiloo";"   23464";"    1255";"   18.70"
"2019";"Heino";"";"";""
"2019";"Helden";"";"";""
"2019";"Den Helder";"   55604";"    1229";"   45.25"
"2019";"Hellendoorn";"   35808";"     260";"  137.91"
"2019";"Hellevoetsluis";"   40049";"     975";"   41.10"
"2019";"Helmond";"   91524";"    1721";"   53.18"
"2019";"Helvoirt";"";"";""
"2019";"Hendrik-Ido-Ambacht";"   30966";"    2918";"   10.61"
"2019";"Hengelo (Gld.)";"";"";""
"2019";"Hengelo (O.)";"   80683";"    1326";"   60.84"
"2019";"'s-Hertogenbosch";"  154205";"    1402";"  109.99"
"2019";"Heteren";"";"";""
"2019";"Heumen";"   16486";"     415";"   39.76"
"2019";"Heusden";"   44135";"     560";"   78.88"
"2019";"Heythuysen";"";"";""
"2019";"Hillegom";"   21966";"    1706";"   12.87"
"2019";"Hilvarenbeek";"   15334";"     162";"   94.85"
"2019";"Hilversum";"   90238";"    1978";"   45.61"
"2019";"Hoeksche Waard";"   86656";"     322";"  268.93"
"2019";"Hoevelaken";"";"";""
"2019";"Hoeven";"";"";""
"2019";"Hof van Twente";"   34940";"     164";"  212.56"
"2019";"Het Hogeland";"   47888";"      99";"  482.75"
"2019";"Hollands Kroon";"   47815";"     134";"  357.34"
"2019";"Holten";"";"";""
"2019";"Hontenisse";"";"";""
"2019";"Hooge en Lage Mierde";"";"";""
"2019";"Hooge en Lage Zwaluwe";"";"";""
"2019";"Hoogeloon, Hapert en Casteren";"";"";""
"2019";"Hoogeveen";"   55662";"     436";"  127.54"
"2019";"Hoogezand-Sappemeer";"";"";""
"2019";"Hoorn";"   73004";"    3583";"   20.38"
"2019";"Horst";"";"";""
"2019";"Horst aan de Maas";"   42291";"     224";"  188.73"
"2019";"Houten";"   49911";"     908";"   54.94"
"2019";"Huijbergen";"";"";""
"2019";"Huissen";"";"";""
"2019";"Huizen";"   41273";"    2611";"   15.81"
"2019";"Hulst";"   27524";"     136";"  201.71"
"2019";"Hummelo en Keppel";"";"";""
"2019";"Hunsel";"";"";""
"2019";"IJsselham";"";"";""
"2019";"IJsselmuiden";"";"";""
"2019";"IJsselstein";"   34160";"    1621";"   21.07"
"2019";"Jacobswoude";"";"";""
"2019";"Kaag en Braassem";"   26866";"     425";"   63.24"
"2019";"Kampen";"   53779";"     378";"  142.18"
"2019";"Kapelle";"   12785";"     344";"   37.13"
"2019";"Katwijk";"   65302";"    2639";"   24.75"
"2019";"Kerkrade";"   45642";"    2083";"   21.91"
"2019";"Kerkwijk";"";"";""
"2019";"Kessel";"";"";""
"2019";"Kesteren";"";"";""
"2019";"Klundert";"";"";""
"2019";"Koggenland";"   22738";"     283";"   80.32"
"2019";"Kollumerland en Nieuwkruisland";"";"";""
"2019";"Korendijk";"";"";""
"2019";"Krimpen aan den IJssel";"   29376";"    3822";"    7.69"
"2019";"Krimpenerwaard";"   56048";"     378";"  148.40"
"2019";"Laarbeek";"   22333";"     403";"   55.35"
"2019";"Landerd";"   15529";"     221";"   70.35"
"2019";"Landgraaf";"   37591";"    1529";"   24.58"
"2019";"Landsmeer";"   11488";"     510";"   22.53"
"2019";"Langbroek";"";"";""
"2019";"Langedijk";"   27992";"    1172";"   23.88"
"2019";"Lansingerland";"   61601";"    1153";"   53.41"
"2019";"Laren (NH.)";"   11195";"     902";"   12.41"
"2019";"Leek";"";"";""
"2019";"Leende";"";"";""
"2019";"Leerdam";"";"";""
"2019";"Leersum";"";"";""
"2019";"Leeuwarden";"  123107";"     516";"  238.38"
"2019";"Leeuwarderadeel";"";"";""
"2019";"Leiden";"  124899";"    5701";"   21.91"
"2019";"Leiderdorp";"   27109";"    2342";"   11.58"
"2019";"Leidschendam";"";"";""
"2019";"Leidschendam-Voorburg";"   75425";"    2317";"   32.55"
"2019";"Lelystad";"   77893";"     338";"  230.32"
"2019";"Lemsterland";"";"";""
"2019";"Leudal";"   35681";"     219";"  162.73"
"2019";"Leusden";"   30030";"     513";"   58.54"
"2019";"Lichtenvoorde";"";"";""
"2019";"Liemeer";"";"";""
"2019";"Liempde";"";"";""
"2019";"Lienden";"";"";""
"2019";"De Lier";"";"";""
"2019";"Lieshout";"";"";""
"2019";"Liesveld";"";"";""
"2019";"Limmen";"";"";""
"2019";"Lingewaal";"";"";""
"2019";"Lingewaard";"   46475";"     750";"   62.00"
"2019";"Lisse";"   22800";"    1453";"   15.69"
"2019";"Lith";"";"";""
"2019";"Littenseradiel";"";"";""
"2019";"Lochem";"   33590";"     158";"  213.03"
"2019";"Loenen";"";"";""
"2019";"Loon op Zand";"   23327";"     467";"   49.94"
"2019";"Loosdrecht";"";"";""
"2019";"Lopik";"   14473";"     192";"   75.57"
"2019";"Loppersum";"    9614";"      87";"  111.04"
"2019";"Losser";"   22622";"     229";"   98.76"
"2019";"Luyksgestel";"";"";""
"2019";"Maarheeze";"";"";""
"2019";"Maarn";"";"";""
"2019";"Maarssen";"";"";""
"2019";"Maartensdijk";"";"";""
"2019";"Maasbracht";"";"";""
"2019";"Maasbree";"";"";""
"2019";"Maasdonk";"";"";""
"2019";"Maasdriel";"   24693";"     374";"   66.11"
"2019";"Maasgouw";"   23716";"     519";"   45.71"
"2019";"Maasland";"";"";""
"2019";"Maassluis";"   32768";"    3866";"    8.48"
"2019";"Maastricht";"  121565";"    2171";"   55.99"
"2019";"Made";"";"";""
"2019";"Made en Drimmelen";"";"";""
"2019";"Margraten";"";"";""
"2019";"Mariekerke";"";"";""
"2019";"Markelo";"";"";""
"2019";"De Marne";"";"";""
"2019";"Marum";"";"";""
"2019";"Maurik";"";"";""
"2019";"Medemblik";"   44809";"     369";"  121.42"
"2019";"Meerlo-Wanssum";"";"";""
"2019";"Meerssen";"   18923";"     702";"   26.96"
"2019";"Meierijstad";"   80815";"     439";"  184.09"
"2019";"Meijel";"";"";""
"2019";"Menaldumadeel";"";"";""
"2019";"Menameradiel";"";"";""
"2019";"Menterwolde";"";"";""
"2019";"Meppel";"   33564";"     604";"   55.53"
"2019";"Middelburg (Z.)";"   48544";"    1003";"   48.42"
"2019";"Middelharnis";"";"";""
"2019";"Midden-Delfland";"   19391";"     411";"   47.19"
"2019";"Midden-Drenthe";"   33178";"      97";"  340.51"
"2019";"Midden-Groningen";"   60899";"     217";"  280.00"
"2019";"Middenschouwen";"";"";""
"2019";"Middenveld";"";"";""
"2019";"Mierlo";"";"";""
"2019";"Mill en Sint Hubert";"   10891";"     209";"   52.23"
"2019";"Millingen aan de Rijn";"";"";""
"2019";"Moerdijk";"   36961";"     232";"  159.15"
"2019";"Moergestel";"";"";""
"2019";"Molenlanden";"   43858";"     241";"  181.73"
"2019";"Molenwaard";"";"";""
"2019";"Monster";"";"";""
"2019";"Montferland";"   36026";"     341";"  105.70"
"2019";"Montfoort";"   13996";"     373";"   37.57"
"2019";"Mook en Middelaar";"    7806";"     449";"   17.38"
"2019";"Moordrecht";"";"";""
"2019";"Muiden";"";"";""
"2019";"Naaldwijk";"";"";""
"2019";"Naarden";"";"";""
"2019";"Neder-Betuwe";"   24034";"     401";"   59.98"
"2019";"Nederhorst den Berg";"";"";""
"2019";"Nederlek";"";"";""
"2019";"Nederweert";"   17001";"     170";"   99.98"
"2019";"Neede";"";"";""
"2019";"Neerijnen";"";"";""
"2019";"Niedorp";"";"";""
"2019";"Nieuwegein";"   63036";"    2682";"   23.51"
"2019";"Nieuwerkerk aan den IJssel";"";"";""
"2019";"Nieuw-Ginneken";"";"";""
"2019";"Nieuwkoop";"   28628";"     367";"   78.05"
"2019";"Nieuw-Lekkerland";"";"";""
"2019";"Nieuwleusen";"";"";""
"2019";"Nieuw-Vossemeer";"";"";""
"2019";"Nijefurd";"";"";""
"2019";"Nijeveen";"";"";""
"2019";"Nijkerk";"   42943";"     619";"   69.34"
"2019";"Nijmegen";"  176731";"    3329";"   53.09"
"2019";"Nissewaard";"   84797";"    1152";"   73.58"
"2019";"Noardeast-Fryslân";"   45181";"     120";"  377.83"
"2019";"Noord-Beveland";"    7308";"      85";"   85.96"
"2019";"Noordenveld";"   31290";"     157";"  199.41"
"2019";"Noorder-Koggenland";"";"";""
"2019";"Noordoostpolder";"   46849";"     102";"  458.17"
"2019";"Noordwijk";"   42859";"     734";"   58.37"
"2019";"Noordwijkerhout";"";"";""
"2019";"Nootdorp";"";"";""
"2019";"Norg";"";"";""
"2019";"Nuenen, Gerwen en Nederwetten";"   23186";"     688";"   33.71"
"2019";"Nunspeet";"   27481";"     213";"  128.74"
"2019";"Nuth";"";"";""
"2019";"Obdam";"";"";""
"2019";"Odoorn";"";"";""
"2019";"Oegstgeest";"   24426";"    3343";"    7.31"
"2019";"Oirschot";"   18623";"     183";"  101.78"
"2019";"Oisterwijk";"   26140";"     409";"   63.84"
"2019";"Oldambt";"   38129";"     168";"  226.66"
"2019";"Oldebroek";"   23598";"     242";"   97.65"
"2019";"Oldenzaal";"   31840";"    1477";"   21.55"
"2019";"Olst";"";"";""
"2019";"Olst-Wijhe";"   18071";"     159";"  113.84"
"2019";"Ommen";"   17813";"      99";"  179.90"
"2019";"Onderbanken";"";"";""
"2019";"Oost Gelre";"   29704";"     270";"  109.93"
"2019";"Oost-, West- en Middelbeers";"";"";""
"2019";"Oostburg";"";"";""
"2019";"Oosterhesselen";"";"";""
"2019";"Oosterhout";"   55616";"     778";"   71.47"
"2019";"Oostflakkee";"";"";""
"2019";"Ooststellingwerf";"   25497";"     114";"  223.42"
"2019";"Oostzaan";"    9757";"     846";"   11.53"
"2019";"Ootmarsum";"";"";""
"2019";"Opmeer";"   11779";"     284";"   41.50"
"2019";"Opsterland";"   29723";"     132";"  224.40"
"2019";"Oss";"   91451";"     560";"  163.16"
"2019";"Ossendrecht";"";"";""
"2019";"Oud en Nieuw Gastel";"";"";""
"2019";"Oud-Beijerland";"";"";""
"2019";"Oude IJsselstreek";"   39473";"     290";"  136.15"
"2019";"Oudenbosch";"";"";""
"2019";"Ouder-Amstel";"   13916";"     578";"   24.08"
"2019";"Ouderkerk";"";"";""
"2019";"Oudewater";"   10201";"     262";"   38.90"
"2019";"Overbetuwe";"   47543";"     435";"  109.19"
"2019";"Papendrecht";"   32290";"    3430";"    9.41"
"2019";"Peel en Maas";"   43311";"     272";"  159.37"
"2019";"Peize";"";"";""
"2019";"Pekela";"   12214";"     249";"   49.04"
"2019";"Pijnacker";"";"";""
"2019";"Pijnacker-Nootdorp";"   54331";"    1465";"   37.08"
"2019";"Prinsenbeek";"";"";""
"2019";"Purmerend";"   80117";"    3460";"   23.15"
"2019";"Putte";"";"";""
"2019";"Putten";"   24198";"     284";"   85.22"
"2019";"Raalte";"   37511";"     219";"  170.99"
"2019";"Raamsdonk";"";"";""
"2019";"Ravenstein";"";"";""
"2019";"Reeuwijk";"";"";""
"2019";"Reiderland";"";"";""
"2019";"Reimerswaal";"   22678";"     223";"  101.80"
"2019";"Renkum";"   31302";"     681";"   45.95"
"2019";"Renswoude";"    5259";"     286";"   18.40"
"2019";"Reusel";"";"";""
"2019";"Reusel-De Mierden";"   13060";"     168";"   77.88"
"2019";"Rheden";"   43640";"     534";"   81.74"
"2019";"Rhenen";"   20004";"     475";"   42.08"
"2019";"Ridderkerk";"   46241";"    1950";"   23.72"
"2019";"Riethoven";"";"";""
"2019";"Rijnsburg";"";"";""
"2019";"Rijnwaarden";"";"";""
"2019";"Rijnwoude";"";"";""
"2019";"Rijsbergen";"";"";""
"2019";"Rijssen";"";"";""
"2019";"Rijssen-Holten";"   38300";"     407";"   94.13"
"2019";"Rijswijk (ZH.)";"   53467";"    3831";"   13.96"
"2019";"Roden";"";"";""
"2019";"Roerdalen";"   20615";"     234";"   88.21"
"2019";"Roermond";"   58209";"     957";"   60.81"
"2019";"Roggel en Neer";"";"";""
"2019";"Rolde";"";"";""
"2019";"De Ronde Venen";"   44059";"     441";"   99.92"
"2019";"Roosendaal";"   77032";"     723";"  106.50"
"2019";"Roosendaal en Nispen";"";"";""
"2019";"Rosmalen";"";"";""
"2019";"Rossum";"";"";""
"2019";"Rotterdam";"  644618";"    2963";"  217.57"
"2019";"Rozenburg";"";"";""
"2019";"Rozendaal";"    1654";"      59";"   27.90"
"2019";"Rucphen";"   22572";"     350";"   64.41"
"2019";"Ruinen";"";"";""
"2019";"Ruinerwold";"";"";""
"2019";"Ruurlo";"";"";""
"2019";"Sas van Gent";"";"";""
"2019";"Sassenheim";"";"";""
"2019";"Schagen";"   46553";"     277";"  168.25"
"2019";"Scheemda";"";"";""
"2019";"Schermer";"";"";""
"2019";"Scherpenzeel";"    9873";"     716";"   13.79"
"2019";"Schiedam";"   77999";"    4376";"   17.82"
"2019";"Schiermonnikoog";"     936";"      23";"   40.50"
"2019";"Schijndel";"";"";""
"2019";"Schinnen";"";"";""
"2019";"Schipluiden";"";"";""
"2019";"Schoonebeek";"";"";""
"2019";"Schoonhoven";"";"";""
"2019";"Schoorl";"";"";""
"2019";"Schouwen-Duiveland";"   33779";"     147";"  229.65"
"2019";"Sevenum";"";"";""
"2019";"Simpelveld";"   10516";"     656";"   16.03"
"2019";"Sint Anthonis";"   11606";"     117";"   99.27"
"2019";"Sint-Michielsgestel";"   28991";"     497";"   58.38"
"2019";"Sint-Oedenrode";"";"";""
"2019";"Sittard";"";"";""
"2019";"Sittard-Geleen";"   92661";"    1173";"   79.01"
"2019";"Skarsterlân";"";"";""
"2019";"Sleen";"";"";""
"2019";"Sliedrecht";"   25026";"    1950";"   12.84"
"2019";"Slochteren";"";"";""
"2019";"Sluis";"   23386";"      84";"  279.36"
"2019";"Sluis-Aardenburg";"";"";""
"2019";"Smallingerland";"   55938";"     477";"  117.31"
"2019";"Smilde";"";"";""
"2019";"Sneek";"";"";""
"2019";"Soest";"   46194";"     999";"   46.24"
"2019";"Someren";"   19322";"     241";"   80.27"
"2019";"Son en Breugel";"   16904";"     651";"   25.95"
"2019";"Spijkenisse";"";"";""
"2019";"Sprang-Capelle";"";"";""
"2019";"St. Anthonis";"";"";""
"2019";"Stad Delden";"";"";""
"2019";"Stadskanaal";"   31789";"     270";"  117.64"
"2019";"Standdaarbuiten";"";"";""
"2019";"Staphorst";"   17003";"     127";"  133.99"
"2019";"Stede Broec";"   21706";"    1497";"   14.50"
"2019";"Steenbergen";"   25054";"     171";"  146.43"
"2019";"Steenderen";"";"";""
"2019";"Steenwijk";"";"";""
"2019";"Steenwijkerland";"   43940";"     152";"  288.27"
"2019";"Stein (L.)";"   24961";"    1184";"   21.08"
"2019";"Stichtse Vecht";"   64336";"     669";"   96.10"
"2019";"Stramproy";"";"";""
"2019";"Strijen";"";"";""
"2019";"Súdwest-Fryslân";"   89710";"     172";"  523.01"
"2019";"Susteren";"";"";""
"2019";"Swalmen";"";"";""
"2019";"Tegelen";"";"";""
"2019";"Terheijden";"";"";""
"2019";"Terneuzen";"   54589";"     218";"  250.38"
"2019";"Terschelling";"    4890";"      57";"   85.26"
"2019";"Teteringen";"";"";""
"2019";"Texel";"   13547";"      84";"  162.00"
"2019";"Teylingen";"   37061";"    1306";"   28.38"
"2019";"Tholen";"   25780";"     176";"  146.71"
"2019";"Thorn";"";"";""
"2019";"Tiel";"   41978";"    1277";"   32.88"
"2019";"Tilburg";"  217259";"    1870";"  116.17"
